day,average_insolation
2500.2197974066275,123.28464313033717
2501.219887487532,120.82582072118066
2502.219977568436,118.41245621176147
2503.2200676493408,116.04520413266015
2504.220157730245,113.72469421370728
2505.2202478111494,111.45153089282365
2506.220337892054,109.22629287940957
2507.220427972958,107.0495327765746
2508.2205180538626,104.9217767663631
2509.2206081347667,102.8435243621322
2510.2206982156713,100.81524823199972
2511.2207882965754,98.83739409720661
2512.22087837748,96.9103807089161
2513.220968458384,95.03459990677129
2514.2210585392886,93.21041676217217
2515.221148620193,91.43816980882798
2516.2212387010973,89.71817136276385
2517.221328782002,88.05070793338707
2518.221418862906,86.43604072673558
2519.2215089438105,84.87440624135371
2520.2215990247146,83.3660169566373
2521.221689105619,81.91106211270647
2522.2217791865232,80.50970858014628
2523.221869267428,79.16210181710602
2524.2219593483323,77.86836691042105
2525.2220494292364,76.62860969651115
2526.222139510141,75.44291795692428
2527.222229591045,74.31136268249169
2528.2223196719497,73.2339993990885
2529.2224097528538,72.21086954717846
2530.2224998337583,71.24200190635875
2531.2225899146624,70.32741405536187
2532.222679995567,69.4671138571498
2533.2227700764715,68.66110095806303
2534.2228601573756,67.90936828936302
2535.22295023828,67.21190355901078
2536.2230403191843,66.56869072113892
2537.223130400089,65.97971141041889
2538.223220480993,65.44494632843175
2539.2233105618975,64.96437656918782
2540.223400642802,64.53798487117602
2541.223490723706,64.16575678368588
2542.2235808046107,63.84768173571634
2543.223670885515,63.58375399649402
2544.2237609664194,63.373973517513896
2545.2238510473235,63.21834664704785
2546.223941128228,63.1168867092467
2547.224031209132,63.06961444126245
2548.2241212900367,63.07655828322441
2549.2242113709412,63.13775451740022
2550.2243014518453,63.25324725442245
2551.22439153275,63.42308826605637
2552.224481613654,63.647336665580454
2553.2245716945586,63.92605843844023
2554.2246617754627,64.25932582737296
2555.224751856367,64.64721657768342
2556.2248419372713,65.08981304971938
2557.224932018176,65.58720120690194
2558.2250220990804,66.13946948876678
2559.2251121799845,66.7467075795235
2560.225202260889,67.40900508344168
2561.225292341793,68.12645011909309
2562.2253824226977,68.89912784496661
2563.225472503602,69.7271189293413
2564.2255625845064,70.61049797746679
2565.225652665411,71.54933192912382
2566.225742746315,72.5436784395149
2567.2258328272196,73.59358425613236
2568.2259229081237,74.69908360386907
2569.2260129890283,75.86019659009021
2570.2261030699324,77.07692764077457
2571.226193150837,78.3492639781012
2572.226283231741,79.67717414909242
2573.2263733126456,81.06060661405925
2574.22646339355,82.49948840274351
2575.2265534744542,83.99372384510995
2576.226643555359,85.54319338286419
2577.226733636263,87.14775246680645
2578.2268237171675,88.80723054428496
2579.2269137980716,90.52143014005156
2580.227003878976,92.29012603307036
2581.22709395988,94.11306453088571
2582.227184040785,95.98996284253984
2583.2272741216893,97.92050855014462
2584.2273642025934,99.90435917868098
2585.227454283498,101.94114186289973
2586.227544364402,104.03045310966071
2587.2276344453066,106.17185865356309
2588.2277245262107,108.36489340325626
2589.2278146071153,110.6090614754203
2590.2279046880194,112.90383631309925
2591.227994768924,115.248660884755
2592.2280848498285,117.64294796020373
2593.2281749307326,120.08608045936683
2594.228265011637,122.57741186969001
