"","full_name","name","id","spkid","orbit_id","class","price","profit","spec_B","dv","a","q","e","i","H","moid","moid_ld","moid_jup","BV","UB","epoch","epoch_cal","epoch_mjd","om","n","est_diameter","rms","closeness","per","equinox","albedo","score","tp","n_obs_used","ma","pdes","ad","neo","pha","spec_T","IR","diameter"
"1636","(2000 WL63)","","bK00W63L",3076550,"48","APO",8.228411e-45,1.008185e-45,"S",6.970578,1.431835,1.004283,0.2986044,18.27611,19.9,0.161176,62.72486,3.2653,NA,NA,2458600,20190427,58600,79.41819,0.5752605,0.3593183,0.42633,2918.823,625.8035,"J2000",NA,1.645682e-56,2458849,265,217.0459,"2000 WL63",1.859387,NA,NA,NA,NA,NA
"1637","(2000 WM63)","","bK00W63M",3065824,"17","APO",3.128355e-45,2.772945e-46,"S",8.970336,1.029898,0.868609,0.1566066,20.13634,20.6,0.121063,47.11409,3.90532,NA,NA,2458600,20190427,58600,74.51906,0.9430027,0.2603031,0.46271,2717.369,381.7592,"J2000",NA,6.256709e-57,2458608,92,352.8796,"2000 WM63",1.191186,NA,NA,NA,NA,NA
"1638","(2000 YA)","","bK00Y00A",3057549,"52","APO",4.318332e-47,5.314008e-48,"Sk",6.925134,2.386484,0.8464313,0.6453229,2.683441,23.7,0.00749134,2.915405,1.11233,NA,NA,2458600,20190427,58600,84.73493,0.2673414,0.06244237,0.36106,2912.388,1346.593,"J2000",NA,8.636663e-59,2458649,177,347.1548,"2000 YA",3.926537,NA,NA,NA,NA,NA
"1639","(2001 EC)","","bK01E00C",3070541,"37","APO",5.69267e-44,5.458062e-45,"Sq",8.26884,2.588822,0.5928896,0.7709809,0.5966132,18.5,0.00328385,1.277976,0.748646,NA,NA,2458600,20190427,58600,318.494,0.2366197,0.6846669,0.29829,2709.454,1521.429,"J2000",NA,1.138534e-55,2457991,259,144.2545,"2001 EC",4.584753,NA,NA,NA,NA,NA
"1640","(2001 HK31)","","bK01H31K",3076783,"29","AMO",1331437189,172643845,"X",6.724782,2.436561,1.036472,0.5746168,6.854064,21,0.117916,45.88937,1.21032,NA,NA,2458600,20190427,58600,114.2398,0.2591422,0.2165107,0.33096,2980.049,1389.199,"J2000",NA,149.0051,2458986,92,260.1256,"2001 HK31",3.83665,NA,NA,NA,NA,NA
"1641","(2001 JV1)","","bK01J01V",3076812,"34","APO",1.035896e-45,2.0347e-46,"Sq",5.678926,1.704629,0.9623073,0.4354741,6.629463,21.4,0.0222904,8.674755,2.77074,NA,NA,2458600,20190427,58600,92.28964,0.4428526,0.1800858,0.43102,3812.11,812.9116,"J2000",NA,2.071791e-57,2458600,135,0.06214335,"2001 JV1",2.446951,NA,NA,NA,NA,NA
"1642","(2001 SJ262)","","bK01SQ2J",3092337,"32","AMO",30605466839,3043377899,"C",7.983947,2.945017,1.252446,0.5747236,10.80155,19.9,0.258586,100.6339,0.885795,NA,NA,2458600,20190427,58600,210.4301,0.195017,NA,0.59259,2713.247,1845.993,"J2000",0.177,135.6823,2457741,118,167.5805,"2001 SJ262",4.637588,NA,NA,NA,NA,NA
"1643","(2001 SG286)","","bK01SS6G",3082931,"20","APO",2420.77,486.8816,"D",5.640122,1.358169,0.8866377,0.3471815,7.771224,20.9,0.00533587,2.076561,3.39278,NA,NA,2458600,20190427,58600,241.1901,0.6226923,0.2267145,0.63948,3876.797,578.1346,"J2000",NA,4.841541e-09,2458486,70,71.34578,"2001 SG286",1.8297,NA,NA,NA,NA,NA
"1644","(2001 TY44)","","bK01T44Y",3092381,"35","AMO",3502036622,473516898,"X",6.583252,2.357791,1.127607,0.5217529,2.526194,20.3,0.148551,57.81159,1.75423,NA,NA,2458600,20190427,58600,356.6918,0.2722363,0.298868,0.59103,3042.076,1322.381,"J2000",NA,152.1108,2458874,144,285.5762,"2001 TY44",3.587976,NA,NA,NA,NA,NA
"1645","(2001 TC45)","","bK01T45C",3092385,"7","APO",2.164293e-44,2.091972e-45,"Sq",8.215103,2.220158,0.7953813,0.6417457,15.55453,19.2,0.0219947,8.559677,1.88904,NA,NA,2458600,20190427,58600,36.02521,0.2979396,0.4959973,0.565,2713.736,1208.299,"J2000",NA,4.328585e-56,2458297,150,90.43645,"2001 TC45",3.644935,NA,NA,NA,NA,NA
"1646","(2001 UC5)","","bK01U05C",3092397,"JPL 12","AMO",879671827,62417939,"X",10.95482,2.743003,1.022534,0.6272211,30.45115,21.3,0.0598657,23.29793,1.28695,NA,NA,2452206,20011024,52206,28.37404,0.2169524,0.1885729,0.37514,2656.493,1659.35,"J2000",NA,132.8264,2452224,70,356.1211,"2001 UC5",4.463473,NA,NA,NA,NA,NA
"1647","(2001 UU92)","","bK01U92U",3092496,"37","AMO",38142.31,4300.143,"T",7.286746,3.170704,1.053954,0.6675962,5.377073,20.1,0.118818,46.2404,0.472989,NA,NA,2458600,20190427,58600,7.389309,0.1745703,0.3277022,0.58176,2807.529,2062.206,"J2000",NA,7.628463e-08,2458452,129,25.9384,"2001 UU92",5.287454,NA,NA,NA,NA,NA
"1648","(2001 WH2)","","bK01W02H",3092504,"30","AMO",4616583375,497306973,"X",7.543591,2.041521,1.170544,0.4266312,15.04047,20.1,0.195226,75.9761,2.31966,NA,NA,2458600,20190427,58600,80.79206,0.3378884,0.3277022,0.56015,2777.134,1065.441,"J2000",NA,138.8659,2458664,114,338.4065,"2001 WH2",2.912498,NA,NA,NA,NA,NA
"1649","(2001 YE1)","","bK01Y01E",3102706,"28","APO",14501.3,2547.227,"T",5.905332,1.91241,0.9540851,0.5011086,4.45836,20.8,0.0593943,23.11448,2.12278,NA,NA,2458600,20190427,58600,65.84639,0.3726769,0.2373993,0.47368,3545.028,965.9843,"J2000",NA,2.900261e-08,2458127,120,176.6065,"2001 YE1",2.870736,NA,NA,NA,NA,NA
